n 141548, BTC size 141548
40935.27778, 0
40935.28611, 0
40935.32778, 0
40935.36944, 0
40935.41111, 0
40935.45278, 0
40935.49444, 0
40935.53611, 0
40935.57778, 0
40935.61944, 0
40935.66111, 0
40935.70278, 0
40935.74444, 0
40935.75486, 0
40935.78611, 0
40935.82014, 0
40935.82778, 0
40935.86944, 0
40935.91111, 0
40935.95278, 0
40935.99444, 0
40936.03611, 0
40936.07778, 0
40936.11944, 0
40936.16111, 0
40936.20278, 0
40936.24444, 0
40936.28611, 0
40936.32778, 0
40936.36944, 0
40936.41111, 0
40936.45278, 0
40936.49444, 0
40936.53611, 0
40936.57778, 0
40936.61944, 0
40936.66111, 0
40936.70278, 0
40936.74444, 0
40936.78611, 0
40936.82778, 0
40936.86944, 0
40936.91111, 0
40936.95278, 0
40936.99444, 0
40937.03611, 0
40937.07778, 0
40937.11944, 0
40937.16111, 0
40937.20278, 0
40937.24444, 0
40937.28611, 0
40937.32778, 0
40937.36944, 0
40937.41111, 0
40937.45278, 0
40937.49444, 0
40937.53611, 0
40937.57778, 0
40937.61944, 0
40937.66111, 0
40937.70278, 0
40937.74444, 0
40937.78611, 0
40937.82778, 0
40937.86944, 0
40937.91111, 0
40937.95278, 0
40937.99444, 0
40938.03611, 0
40938.07778, 0
40938.11944, 0
40938.16111, 0
40938.20278, 0
40938.24444, 0
40938.28611, 0
40938.32778, 0
40938.36944, 0
40938.41111, 0
40938.45278, 0
40938.49444, 0
40938.53611, 0
40938.57778, 0
40938.61944, 0
40938.66111, 0
40938.70278, 0
40938.74444, 0
40938.78611, 0
40938.82778, 0
40938.86944, 0
40938.91111, 0
40938.95278, 0
40938.99444, 0
40939.03611, 0
40939.07778, 0
40939.11944, 0
40939.16111, 0
40939.20278, 0
40939.24444, 0.0001
40939.28611, 0.0001
40939.32778, 0
40939.36944, 0
40939.41111, 0
40939.45278, 0
40939.49444, 0
40939.53611, 0
40939.56042, 0
40939.57778, 0
40939.61944, 0
40939.66111, 0
40939.70278, 0
40939.74444, 0
40939.78611, 0
40939.82778, 0
40939.86944, 0
40939.91111, 0
40939.95278, 0
40939.99444, 0
40940.03611, 0
40940.07778, 0
40940.11944, 0
40940.14514, 0.0003
40940.16111, 0.0004
